TITLE = "FEHM V3.3.0lin 18-01-19 QA:NA  07/06/2018  10:13:46 # run.dat"
VARIABLES =  "node" "Permeability (m**2) in X" "Permeability (m**2) in Y" "Permeability (m**2) in Z" "Porosity" "Rock bulk density (kg/m**3)" "Rock specific heat (MJ/kg*K)" "Capillary pressure (MPa)"
0000000001   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000002   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000003   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000004   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000005   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000006   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000007   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000008   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000009   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000010   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000011   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000012   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000013   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000014   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000015   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000016   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000017   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000018   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000019   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000020   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000021   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000022   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000023   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000024   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000025   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000026   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000027   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000028   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000029   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000030   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000031   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000032   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000033   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000034   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000035   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000036   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000037   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000038   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000039   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000040   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000041   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000042   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000043   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000044   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000045   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000046   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000047   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000048   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000049   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000050   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
0000000051   1.000000E-13   1.000000E-13   1.000000E-13   0.150000        2563.00       1.010000E-03    0.00000
